Latitude,Longitude,Ru [GV],Rc [GV],Rl [GV],PTF
-70.0,15.0,0.43,0.38,0.35,0.62
-70.0,30.0,0.02,0.02,0.02,0.0
-70.0,45.0,0.02,0.02,0.02,0.0
-70.0,60.0,0.02,0.02,0.02,0.0
-70.0,75.0,0.02,0.02,0.02,0.0
-70.0,90.0,0.02,0.02,0.02,0.0
-70.0,105.0,0.02,0.02,0.02,0.0
-70.0,120.0,0.0,0.0,0.0,0.0
-70.0,135.0,0.0,0.0,0.0,0.0
-70.0,150.0,0.0,0.0,0.0,0.0
-70.0,165.0,0.0,0.0,0.0,0.0
-70.0,180.0,0.0,0.0,0.0,0.0
-70.0,195.0,0.06,0.06,0.06,0.0
-70.0,210.0,0.15,0.12,0.11,0.75
-70.0,225.0,0.37,0.2,0.18,0.89
-70.0,240.0,0.81,0.63,0.55,0.69
-70.0,255.0,0.99,0.92,0.87,0.58
-70.0,270.0,1.28,1.22,1.13,0.4
-70.0,285.0,1.41,1.28,1.2,0.62
-70.0,300.0,1.36,1.28,1.22,0.57
-70.0,315.0,1.24,1.18,1.0,0.25
-70.0,330.0,1.12,1.03,0.96,0.56
-70.0,345.0,0.9,0.83,0.8,0.7
-70.0,360.0,0.68,0.64,0.53,0.27
-65.0,0.0,0.96,0.95,0.94,0.5
-65.0,15.0,0.89,0.77,0.73,0.75
-65.0,30.0,0.58,0.53,0.48,0.5
-65.0,45.0,0.34,0.19,0.14,0.75
-65.0,60.0,0.02,0.02,0.02,0.0
-65.0,75.0,0.02,0.02,0.02,0.0
-65.0,90.0,0.02,0.02,0.02,0.0
-65.0,105.0,0.02,0.02,0.02,0.0
-65.0,120.0,0.02,0.02,0.02,0.0
-65.0,135.0,0.0,0.0,0.0,0.0
-65.0,150.0,0.0,0.0,0.0,0.0
-65.0,165.0,0.0,0.0,0.0,0.0
-65.0,180.0,0.11,0.11,0.11,0.0
-65.0,195.0,0.16,0.16,0.16,0.0
-65.0,210.0,0.4,0.29,0.26,0.79
-65.0,225.0,0.78,0.73,0.64,0.36
-65.0,240.0,1.37,1.26,1.2,0.65
-65.0,255.0,1.81,1.69,1.61,0.6
-65.0,270.0,2.17,2.06,1.85,0.34
-65.0,285.0,2.27,2.2,2.01,0.27
-65.0,300.0,2.09,2.0,1.86,0.39
-65.0,315.0,1.93,1.81,1.69,0.5
-65.0,330.0,1.68,1.55,1.49,0.68
-65.0,345.0,1.35,1.25,1.23,0.83
-65.0,360.0,0.96,0.95,0.94,0.5
-60.0,0.0,1.42,1.36,1.21,0.29
-60.0,15.0,1.21,1.08,1.05,0.81
-60.0,30.0,1.0,0.86,0.83,0.82
-60.0,45.0,0.75,0.6,0.55,0.75
-60.0,60.0,0.16,0.14,0.1,0.33
-60.0,75.0,0.02,0.02,0.02,0.0
-60.0,90.0,0.02,0.02,0.02,0.0
-60.0,105.0,0.02,0.02,0.02,0.0
-60.0,120.0,0.02,0.02,0.02,0.0
-60.0,135.0,0.0,0.0,0.0,0.0
-60.0,150.0,0.08,0.08,0.08,0.0
-60.0,165.0,0.16,0.16,0.16,0.0
-60.0,180.0,0.53,0.26,0.24,0.93
-60.0,195.0,0.75,0.65,0.57,0.56
-60.0,210.0,1.26,1.12,1.01,0.56
-60.0,225.0,1.68,1.54,1.42,0.54
-60.0,240.0,2.39,2.21,2.01,0.47
-60.0,255.0,2.96,2.79,2.45,0.33
-60.0,270.0,3.08,3.0,2.73,0.23
-60.0,285.0,3.31,3.09,2.57,0.3
-60.0,300.0,2.88,2.71,2.55,0.52
-60.0,315.0,2.66,2.51,2.33,0.45
-60.0,330.0,2.17,1.98,1.8,0.51
-60.0,345.0,1.77,1.66,1.58,0.58
-60.0,360.0,1.42,1.36,1.21,0.29
-55.0,0.0,1.77,1.71,1.57,0.3
-55.0,15.0,1.62,1.52,1.41,0.48
-55.0,30.0,1.44,1.31,1.27,0.76
-55.0,45.0,1.2,1.08,1.0,0.6
-55.0,60.0,0.66,0.55,0.52,0.79
-55.0,75.0,0.16,0.16,0.16,0.0
-55.0,90.0,0.02,0.02,0.02,0.0
-55.0,105.0,0.02,0.02,0.02,0.0
-55.0,120.0,0.02,0.02,0.02,0.0
-55.0,135.0,0.25,0.24,0.22,0.33
-55.0,150.0,0.26,0.26,0.26,0.0
-55.0,165.0,0.71,0.47,0.43,0.86
-55.0,180.0,1.0,0.87,0.77,0.57
-55.0,195.0,1.5,1.4,1.29,0.48
-55.0,210.0,2.21,2.02,1.79,0.45
-55.0,225.0,2.83,2.55,2.29,0.52
-55.0,240.0,3.92,3.58,2.8,0.3
-55.0,255.0,4.25,3.94,3.5,0.41
-55.0,270.0,4.59,4.43,4.03,0.29
-55.0,285.0,4.71,4.51,4.03,0.29
-55.0,300.0,4.44,4.23,3.69,0.28
-55.0,315.0,3.55,3.31,2.89,0.36
-55.0,330.0,2.85,2.69,2.34,0.31
-55.0,345.0,2.16,2.07,1.94,0.41
-55.0,360.0,1.77,1.71,1.57,0.3
-50.0,0.0,2.26,2.07,1.82,0.43
-50.0,15.0,2.16,1.97,1.86,0.63
-50.0,30.0,1.96,1.79,1.64,0.53
-50.0,45.0,1.79,1.6,1.54,0.76
-50.0,60.0,1.33,1.26,1.14,0.37
-50.0,75.0,0.97,0.79,0.74,0.78
-50.0,90.0,0.6,0.57,0.49,0.27
-50.0,105.0,0.43,0.42,0.41,0.5
-50.0,120.0,0.54,0.44,0.39,0.67
-50.0,135.0,0.76,0.69,0.64,0.58
-50.0,150.0,1.01,0.88,0.84,0.76
-50.0,165.0,1.35,1.29,1.21,0.43
-50.0,180.0,1.67,1.63,1.6,0.57
-50.0,195.0,2.28,2.17,1.91,0.3
-50.0,210.0,3.47,3.08,2.86,0.64
-50.0,225.0,4.59,4.17,3.51,0.39
-50.0,240.0,5.5,5.12,4.01,0.26
-50.0,255.0,5.81,5.67,5.27,0.26
-50.0,270.0,6.53,6.22,5.19,0.23
-50.0,285.0,6.43,6.21,6.12,0.71
-50.0,300.0,5.43,5.21,4.72,0.31
-50.0,315.0,4.53,4.31,3.53,0.22
-50.0,330.0,3.68,3.42,3.12,0.46
-50.0,345.0,2.97,2.75,2.5,0.47
-50.0,360.0,2.26,2.07,1.82,0.43
-45.0,0.0,3.06,2.83,2.58,0.48
-45.0,15.0,3.01,2.75,2.45,0.46
-45.0,30.0,2.78,2.65,2.28,0.26
-45.0,45.0,2.76,2.48,2.31,0.62
-45.0,60.0,2.11,2.0,1.86,0.44
-45.0,75.0,1.71,1.55,1.4,0.52
-45.0,90.0,1.37,1.25,1.2,0.71
-45.0,105.0,1.22,1.15,1.08,0.5
-45.0,120.0,1.39,1.31,1.25,0.57
-45.0,135.0,1.73,1.63,1.51,0.45
-45.0,150.0,1.93,1.79,1.68,0.56
-45.0,165.0,2.45,2.31,2.15,0.47
-45.0,180.0,3.11,2.96,2.51,0.25
-45.0,195.0,3.75,3.5,3.2,0.45
-45.0,210.0,5.03,4.41,3.36,0.37
-45.0,225.0,5.61,5.0,4.01,0.38
-45.0,240.0,7.67,7.46,7.33,0.62
-45.0,255.0,8.48,7.99,6.03,0.2
-45.0,270.0,9.07,8.7,6.6,0.15
-45.0,285.0,8.08,7.9,6.2,0.1
-45.0,300.0,6.96,6.83,6.49,0.28
-45.0,315.0,5.74,5.35,4.47,0.31
-45.0,330.0,4.32,4.1,3.58,0.3
-45.0,345.0,3.53,3.34,2.97,0.34
-45.0,360.0,3.06,2.83,2.58,0.48
-40.0,0.0,3.61,3.38,3.07,0.43
-40.0,15.0,3.72,3.44,2.97,0.37
-40.0,30.0,3.78,3.31,2.76,0.46
-40.0,45.0,3.64,3.24,2.78,0.47
-40.0,60.0,3.18,2.95,2.66,0.44
-40.0,75.0,2.91,2.62,2.34,0.51
-40.0,90.0,2.43,2.34,2.18,0.36
-40.0,105.0,2.49,2.32,2.15,0.5
-40.0,120.0,2.67,2.44,2.21,0.5
-40.0,135.0,2.71,2.52,2.17,0.35
-40.0,150.0,3.16,2.94,2.58,0.38
-40.0,165.0,3.6,3.44,3.01,0.27
-40.0,180.0,4.15,4.04,2.79,0.08
-40.0,195.0,5.21,4.96,4.54,0.37
-40.0,210.0,5.71,5.25,3.9,0.25
-40.0,225.0,6.22,5.68,5.06,0.47
-40.0,240.0,9.51,8.47,6.1,0.3
-40.0,255.0,9.94,9.86,9.42,0.15
-40.0,270.0,10.24,10.03,9.6,0.33
-40.0,285.0,9.35,8.77,8.39,0.6
-40.0,300.0,8.08,7.18,6.56,0.59
-40.0,315.0,6.89,6.42,5.54,0.35
-40.0,330.0,5.56,5.14,4.57,0.42
-40.0,345.0,4.14,3.93,3.61,0.4
-40.0,360.0,3.61,3.38,3.07,0.43
-35.0,0.0,4.24,3.95,3.32,0.32
-35.0,15.0,4.35,4.11,3.76,0.41
-35.0,30.0,4.29,4.05,3.48,0.3
-35.0,45.0,4.43,3.96,3.33,0.43
-35.0,60.0,4.46,4.01,3.32,0.39
-35.0,75.0,3.85,3.51,2.93,0.37
-35.0,90.0,3.66,3.4,3.08,0.45
-35.0,105.0,3.63,3.37,2.72,0.29
-35.0,120.0,3.69,3.38,3.1,0.53
-35.0,135.0,3.75,3.43,3.06,0.46
-35.0,150.0,4.0,3.72,2.99,0.28
-35.0,165.0,4.92,4.74,3.94,0.18
-35.0,180.0,5.33,5.02,3.97,0.23
-35.0,195.0,6.17,5.89,4.58,0.18
-35.0,210.0,6.76,6.36,5.76,0.4
-35.0,225.0,9.77,9.02,6.57,0.23
-35.0,240.0,10.55,10.42,8.99,0.08
-35.0,255.0,10.79,10.77,10.75,0.5
-35.0,270.0,10.96,10.83,10.52,0.3
-35.0,285.0,10.07,9.76,9.39,0.46
-35.0,300.0,8.84,8.05,7.24,0.49
-35.0,315.0,7.73,6.9,6.33,0.59
-35.0,330.0,6.4,6.09,5.88,0.6
-35.0,345.0,5.29,4.8,3.76,0.32
-35.0,360.0,4.24,3.94,3.26,0.31
-30.0,0.0,5.81,5.34,4.89,0.51
-30.0,15.0,5.89,5.53,5.01,0.41
-30.0,30.0,5.78,5.27,4.21,0.32
-30.0,45.0,5.54,5.4,5.06,0.29
-30.0,60.0,5.54,5.3,4.77,0.31
-30.0,75.0,5.06,4.85,4.28,0.27
-30.0,90.0,4.7,4.38,3.51,0.27
-30.0,105.0,4.89,4.61,3.82,0.26
-30.0,120.0,4.87,4.56,3.96,0.34
-30.0,135.0,5.11,4.92,4.51,0.32
-30.0,150.0,5.49,5.03,4.38,0.41
-30.0,165.0,6.14,6.03,5.54,0.18
-30.0,180.0,7.32,7.14,7.09,0.78
-30.0,195.0,8.55,8.28,6.53,0.13
-30.0,210.0,10.39,8.2,6.33,0.54
-30.0,225.0,10.98,9.63,8.7,0.59
-30.0,240.0,11.27,11.25,11.21,0.33
-30.0,255.0,11.39,11.38,11.36,0.33
-30.0,270.0,11.38,10.95,8.55,0.15
-30.0,285.0,10.57,10.47,10.03,0.19
-30.0,300.0,9.53,9.41,9.01,0.23
-30.0,315.0,8.43,7.74,6.52,0.36
-30.0,330.0,7.88,6.61,5.29,0.49
-30.0,345.0,6.41,5.48,4.44,0.47
-30.0,360.0,5.81,5.35,4.92,0.52
-25.0,0.0,8.85,8.29,7.26,0.35
-25.0,15.0,9.29,8.42,7.15,0.41
-25.0,30.0,9.0,7.98,6.05,0.35
-25.0,45.0,8.88,8.37,7.21,0.31
-25.0,60.0,9.56,8.63,5.5,0.23
-25.0,75.0,9.3,8.96,6.06,0.1
-25.0,90.0,9.12,8.95,8.77,0.49
-25.0,105.0,8.87,8.55,7.06,0.18
-25.0,120.0,7.86,7.63,6.2,0.14
-25.0,135.0,7.4,7.06,6.1,0.26
-25.0,150.0,8.25,7.96,6.39,0.16
-25.0,165.0,9.14,9.05,9.04,0.9
-25.0,180.0,10.28,9.84,8.81,0.3
-25.0,195.0,10.98,9.99,9.16,0.54
-25.0,210.0,11.62,11.21,10.25,0.3
-25.0,225.0,11.8,11.43,10.54,0.29
-25.0,240.0,11.94,11.89,11.75,0.26
-25.0,255.0,11.92,11.91,11.89,0.33
-25.0,270.0,11.81,11.74,11.59,0.32
-25.0,285.0,11.12,11.06,10.69,0.14
-25.0,300.0,10.43,10.27,9.26,0.14
-25.0,315.0,9.78,9.35,8.46,0.33
-25.0,330.0,9.52,8.8,7.77,0.41
-25.0,345.0,8.8,6.52,5.4,0.67
-25.0,360.0,8.85,8.29,7.26,0.35
-20.0,0.0,11.09,10.7,6.62,0.09
-20.0,15.0,11.43,11.19,9.87,0.15
-20.0,30.0,11.5,10.93,9.73,0.32
-20.0,45.0,11.75,11.69,10.85,0.07
-20.0,60.0,12.18,12.18,12.18,0.0
-20.0,75.0,12.37,11.7,9.84,0.26
-20.0,90.0,12.8,12.41,10.67,0.18
-20.0,105.0,12.35,12.0,10.69,0.21
-20.0,120.0,11.36,10.9,9.26,0.22
-20.0,135.0,10.94,10.71,9.94,0.23
-20.0,150.0,11.15,10.85,9.52,0.18
-20.0,165.0,11.65,11.63,11.18,0.04
-20.0,180.0,12.5,12.2,11.59,0.33
-20.0,195.0,12.55,12.51,12.41,0.29
-20.0,210.0,12.72,12.71,12.62,0.1
-20.0,225.0,12.72,12.71,12.47,0.04
-20.0,240.0,12.44,12.44,12.44,0.0
-20.0,255.0,12.31,12.3,12.18,0.08
-20.0,270.0,12.15,12.12,11.91,0.12
-20.0,285.0,11.52,11.47,11.28,0.21
-20.0,300.0,11.34,11.27,10.95,0.18
-20.0,315.0,11.31,11.16,10.7,0.25
-20.0,330.0,10.85,10.56,9.38,0.2
-20.0,345.0,10.68,9.84,6.87,0.22
-20.0,360.0,11.09,10.7,6.62,0.09
-15.0,0.0,12.65,12.53,12.13,0.23
-15.0,15.0,12.94,12.71,11.61,0.17
-15.0,30.0,13.13,13.07,12.11,0.06
-15.0,45.0,13.97,13.96,13.58,0.03
-15.0,60.0,13.87,13.78,13.18,0.13
-15.0,75.0,14.78,14.78,14.78,0.0
-15.0,90.0,15.28,15.28,15.28,0.0
-15.0,105.0,14.69,14.64,14.04,0.08
-15.0,120.0,13.61,13.42,12.79,0.23
-15.0,135.0,13.35,13.17,12.44,0.2
-15.0,150.0,12.87,12.87,12.87,0.0
-15.0,165.0,13.52,13.47,13.45,0.71
-15.0,180.0,13.83,13.79,13.71,0.33
-15.0,195.0,13.58,13.58,13.58,0.0
-15.0,210.0,13.41,13.4,13.25,0.06
-15.0,225.0,13.39,13.39,13.39,0.0
-15.0,240.0,12.84,12.84,12.84,0.0
-15.0,255.0,12.38,12.34,11.45,0.04
-15.0,270.0,12.21,12.2,12.18,0.33
-15.0,285.0,11.66,11.65,11.62,0.25
-15.0,300.0,12.09,12.02,11.76,0.21
-15.0,315.0,12.6,12.56,12.5,0.4
-15.0,330.0,11.98,11.92,11.84,0.43
-15.0,345.0,12.18,12.16,12.1,0.25
-15.0,360.0,12.65,12.53,12.13,0.23
-10.0,0.0,13.55,13.54,13.06,0.02
-10.0,15.0,14.33,14.33,14.33,0.0
-10.0,30.0,14.38,14.38,14.38,0.0
-10.0,45.0,15.9,15.9,15.9,0.0
-10.0,60.0,15.45,15.41,8.5,0.01
-10.0,75.0,16.8,16.8,16.8,0.0
-10.0,90.0,16.79,16.79,16.79,0.0
-10.0,105.0,16.62,16.62,16.62,0.0
-10.0,120.0,15.32,15.32,15.32,0.0
-10.0,135.0,15.31,15.31,15.31,0.0
-10.0,150.0,14.51,14.47,14.44,0.57
-10.0,165.0,15.07,15.05,15.01,0.33
-10.0,180.0,14.73,14.73,14.73,0.0
-10.0,195.0,14.42,14.42,14.42,0.0
-10.0,210.0,13.88,13.88,13.88,0.0
-10.0,225.0,14.08,14.08,14.08,0.0
-10.0,240.0,13.26,13.26,13.26,0.0
-10.0,255.0,12.6,12.6,12.6,0.0
-10.0,270.0,12.36,12.34,12.33,0.67
-10.0,285.0,11.97,11.95,11.93,0.5
-10.0,300.0,12.88,12.85,12.56,0.09
-10.0,315.0,13.77,13.73,13.64,0.31
-10.0,330.0,12.96,12.91,12.74,0.23
-10.0,345.0,13.49,13.49,13.49,0.0
-10.0,360.0,13.55,13.54,13.06,0.02
-5.0,0.0,13.72,13.69,13.14,0.05
-5.0,15.0,15.65,15.65,15.65,0.0
-5.0,30.0,15.65,15.65,15.65,0.0
-5.0,45.0,17.73,17.73,17.73,0.0
-5.0,60.0,16.97,16.97,16.97,0.0
-5.0,75.0,18.7,18.7,18.7,0.0
-5.0,90.0,17.63,17.63,17.63,0.0
-5.0,105.0,18.24,18.24,18.24,0.0
-5.0,120.0,16.89,16.89,16.89,0.0
-5.0,135.0,17.41,17.41,17.41,0.0
-5.0,150.0,16.16,16.15,16.09,0.14
-5.0,165.0,16.73,16.73,16.73,0.0
-5.0,180.0,15.24,15.24,15.24,0.0
-5.0,195.0,15.36,15.36,15.36,0.0
-5.0,210.0,14.57,14.57,14.57,0.0
-5.0,225.0,15.0,15.0,15.0,0.0
-5.0,240.0,13.87,13.86,13.4,0.02
-5.0,255.0,13.13,13.1,12.4,0.04
-5.0,270.0,12.77,12.76,12.71,0.17
-5.0,285.0,12.53,12.51,12.48,0.4
-5.0,300.0,13.75,13.74,13.63,0.08
-5.0,315.0,14.73,14.71,14.51,0.09
-5.0,330.0,13.77,13.71,13.6,0.35
-5.0,345.0,14.72,14.72,14.72,0.0
-5.0,360.0,13.72,13.69,13.14,0.05
0.0,0.0,14.45,14.41,13.75,0.06
0.0,15.0,16.54,16.54,16.54,0.0
0.0,30.0,16.89,16.89,16.89,0.0
0.0,45.0,18.92,18.92,18.92,0.0
0.0,60.0,17.84,17.84,17.84,0.0
0.0,75.0,19.56,19.56,19.56,0.0
0.0,90.0,18.89,18.89,18.89,0.0
0.0,105.0,18.85,18.85,18.85,0.0
0.0,120.0,18.58,18.58,18.58,0.0
0.0,135.0,19.24,19.24,19.24,0.0
0.0,150.0,17.68,17.68,17.68,0.0
0.0,165.0,18.51,18.51,18.51,0.0
0.0,180.0,16.73,16.73,16.73,0.0
0.0,195.0,16.69,16.69,16.69,0.0
0.0,210.0,15.78,15.78,15.78,0.0
0.0,225.0,16.26,16.26,16.26,0.0
0.0,240.0,14.74,14.74,14.74,0.0
0.0,255.0,14.04,14.04,14.04,0.0
0.0,270.0,13.6,13.53,12.75,0.08
0.0,285.0,13.41,13.41,13.41,0.0
0.0,300.0,13.96,13.96,13.96,0.0
0.0,315.0,14.97,14.97,14.97,0.0
0.0,330.0,13.98,13.92,13.68,0.2
0.0,345.0,15.81,15.81,15.81,0.0
0.0,360.0,14.45,14.41,13.75,0.06
5.0,0.0,13.66,13.59,13.11,0.13
5.0,15.0,15.63,15.63,15.63,0.0
5.0,30.0,15.58,15.58,15.58,0.0
5.0,45.0,17.34,17.34,17.34,0.0
5.0,60.0,16.71,16.71,16.71,0.0
5.0,75.0,18.17,18.17,18.17,0.0
5.0,90.0,17.5,17.5,17.5,0.0
5.0,105.0,17.85,17.85,17.85,0.0
5.0,120.0,17.21,17.21,17.21,0.0
5.0,135.0,17.75,17.75,17.75,0.0
5.0,150.0,16.51,16.51,16.51,0.0
5.0,165.0,17.09,17.09,17.09,0.0
5.0,180.0,15.99,15.99,15.99,0.0
5.0,195.0,16.3,16.3,16.3,0.0
5.0,210.0,15.05,15.05,15.05,0.0
5.0,225.0,15.45,15.45,15.45,0.0
5.0,240.0,14.09,14.08,13.6,0.02
5.0,255.0,13.3,13.26,12.76,0.07
5.0,270.0,12.82,12.53,11.8,0.28
5.0,285.0,12.83,12.83,12.83,0.0
5.0,300.0,13.06,13.06,13.06,0.0
5.0,315.0,14.13,14.12,13.94,0.05
5.0,330.0,13.48,13.44,13.19,0.14
5.0,345.0,14.86,14.86,14.86,0.0
5.0,360.0,13.66,13.59,13.11,0.13
10.0,0.0,14.41,14.4,13.83,0.02
10.0,15.0,15.14,15.14,15.14,0.0
10.0,30.0,14.97,14.97,14.97,0.0
10.0,45.0,16.21,16.21,16.21,0.0
10.0,60.0,16.01,16.01,16.01,0.0
10.0,75.0,17.4,17.4,17.4,0.0
10.0,90.0,17.44,17.44,17.44,0.0
10.0,105.0,17.29,17.29,17.29,0.0
10.0,120.0,16.51,16.51,16.51,0.0
10.0,135.0,16.69,16.69,16.69,0.0
10.0,150.0,15.71,15.71,15.71,0.0
10.0,165.0,16.19,16.19,16.19,0.0
10.0,180.0,15.79,15.79,15.79,0.0
10.0,195.0,15.42,15.42,15.42,0.0
10.0,210.0,14.17,14.15,13.83,0.06
10.0,225.0,14.14,14.1,13.69,0.09
10.0,240.0,12.89,12.78,12.28,0.18
10.0,255.0,11.99,11.64,11.27,0.49
10.0,270.0,11.77,11.25,10.6,0.44
10.0,285.0,11.67,11.38,10.5,0.25
10.0,300.0,12.4,12.19,11.6,0.26
10.0,315.0,13.51,13.44,12.8,0.1
10.0,330.0,13.23,13.14,12.38,0.11
10.0,345.0,14.38,14.38,14.38,0.0
10.0,360.0,14.41,14.4,13.83,0.02
15.0,0.0,14.77,14.77,14.77,0.0
15.0,15.0,14.88,14.88,14.88,0.0
15.0,30.0,14.68,14.68,14.68,0.0
15.0,45.0,15.32,15.32,15.32,0.0
15.0,60.0,15.57,15.57,15.57,0.0
15.0,75.0,16.97,16.97,16.97,0.0
15.0,90.0,17.41,17.41,17.41,0.0
15.0,105.0,16.96,16.96,16.96,0.0
15.0,120.0,16.15,16.15,16.15,0.0
15.0,135.0,15.89,15.89,15.89,0.0
15.0,150.0,15.2,15.2,15.2,0.0
15.0,165.0,15.58,15.58,15.58,0.0
15.0,180.0,15.45,15.45,15.45,0.0
15.0,195.0,14.6,14.6,14.6,0.0
15.0,210.0,13.39,13.38,13.36,0.33
15.0,225.0,12.87,12.81,12.8,0.86
15.0,240.0,11.62,11.35,11.11,0.53
15.0,255.0,10.49,10.11,10.0,0.78
15.0,270.0,10.51,9.67,9.19,0.64
15.0,285.0,10.46,9.58,8.8,0.53
15.0,300.0,11.74,11.37,10.9,0.44
15.0,315.0,12.92,12.74,12.18,0.24
15.0,330.0,13.02,12.79,12.16,0.27
15.0,345.0,14.14,14.14,14.14,0.0
15.0,360.0,14.77,14.77,14.77,0.0
20.0,0.0,14.62,14.62,14.62,0.0
20.0,15.0,14.5,14.42,13.39,0.07
20.0,30.0,14.17,13.88,12.74,0.2
20.0,45.0,14.33,14.06,13.06,0.21
20.0,60.0,15.0,15.0,15.0,0.0
20.0,75.0,16.41,16.41,16.41,0.0
20.0,90.0,17.09,17.09,17.09,0.0
20.0,105.0,16.58,16.58,16.58,0.0
20.0,120.0,15.76,15.76,15.76,0.0
20.0,135.0,15.22,15.22,15.22,0.0
20.0,150.0,14.81,14.81,14.81,0.0
